Section name,Ti,TiD
BISH-BABOGAYA11-1A-1U-10A,0.113096523,1130.96523
BISH-BABOGAYA11-1A-1U-10A,0.119906248,1199.06248
BISH-BABOGAYA11-1A-1U-10A,0.119217266,1192.17266
BISH-BABOGAYA11-1A-1U-10A,0.124085235,1240.85235
BISH-BABOGAYA11-1A-1U-10A,0.120699678,1206.99678
BISH-BABOGAYA11-1A-1U-10A,0.111369032,1113.69032
BISH-BABOGAYA11-1A-1U-10A,0.104098658,1040.98658
BISH-BABOGAYA11-1A-1U-10A,0.097019496,970.19496
BISH-BABOGAYA11-1A-1U-10A,0.099145035,991.45035
BISH-BABOGAYA11-1A-1U-10A,0.090181485,901.81485
BISH-BABOGAYA11-1A-1U-10A,0.100069596,1000.69596
BISH-BABOGAYA11-1A-1U-10A,0.098497739,984.97739
BISH-BABOGAYA11-1A-1U-10A,0.096531876,965.31876
BISH-BABOGAYA11-1A-1U-10A,0.100455526,1004.55526
BISH-BABOGAYA11-1A-1U-10A,0.098914355,989.14355
BISH-BABOGAYA11-1A-1U-10A,0.102130953,1021.30953
BISH-BABOGAYA11-1A-1U-10A,0.10401072,1040.1072
BISH-BABOGAYA11-1A-1U-10A,0.104158965,1041.58965
BISH-BABOGAYA11-1A-1U-10A,0.102350129,1023.50129
BISH-BABOGAYA11-1A-1U-10A,0.102623728,1026.23728
BISH-BABOGAYA11-1A-1U-10A,0.101342944,1013.42944
BISH-BABOGAYA11-1A-1U-10A,0.100545494,1005.45494
BISH-BABOGAYA11-1A-1U-10A,0.107358474,1073.58474
BISH-BABOGAYA11-1A-1U-10A,0.103930056,1039.30056
BISH-BABOGAYA11-1A-1U-10A,0.097086138,970.86138
BISH-BABOGAYA11-1A-1U-10A,0.094790997,947.90997
BISH-BABOGAYA11-1A-1U-10A,0.088432756,884.32756
BISH-BABOGAYA11-1A-1U-10A,0.081894737,818.94737
BISH-BABOGAYA11-1A-1U-10A,0.080078288,800.78288
BISH-BABOGAYA11-1A-1U-10A,0.086771998,867.71998
BISH-BABOGAYA11-1A-1U-10A,0.092449528,924.49528
